Choms Sławomir Choszcz #         choms.sierakowice@gmail.com     #575 722 999
&quot;Bladowski&quot; S.C. Bladowski Karol Hurtownia Materiałów Budowlanych ##(58) 684 91 32
Blesa Bil i Wspólnicy Sp. K.A. #         blesa2301@poczta.onet.pl     #(55) 277 23 01
Błażej Brodzik ZUH ##(52) 395 12 59
BMS Okna i Drzwi Bożena i Marek Stryjewscy S.C. ##510 262 609
&quot;Bodzio&quot; Salon Okien i Drzwi Bogdan Gałązka #         rboknanowydwor@gmail.com     #888 795 585
Bogumiła Klupś: &quot;Chemia Eb&quot; S.C. Bogumiła Klupś Małgorzata Klupś ##500 100 327
&quot;Bostar&quot; Sp. z o.o. ##(59) 843 01 24
&quot;Bracia Z&quot; S.C Firma Handlowo-Usługowa Przemysław Zaborowski Sylwester Zaborowski #         braciaz2008@o2.pl     #(58) 351 30 32
Brata Sp. z o.o. ##(59) 814 33 65
Brenbud Sp. z o.o. #         l.bren@brenbud.pl     #Oceń firmę i napisz o niej opinię:
&quot;Bricoman Polska&quot; Sp. z o.o. ##504 933 402
Broker Ms Sp. z o.o. ##(55) 246 01 46
Bronisław Kaczmarkiewicz FH - Usługowo- Produkcyjna Kaczmarkiewicz #         bronek.kaczmarkiewicz@wp.pl     #Oceń firmę i napisz o niej opinię:
Bsf Sp. z o.o. ##798 787 773
BSF System Adam Meyer ##603 529 543
BSU Sp. z o.o. Sp.k. #         biuro@ibsu.pl     #728 839 351
Buczek Stanisław Kroll Henryk Sp.j. Firma Transportowo-Handlowa #         fthkoscierzyna@wp.pl     #(58) 686 30 91
&quot;Bud-Dom&quot; Krystyna Kunikowska ##(58) 572 18 83
Bud-Dom PBHU Eugeniusz Walaszkowski ##608 647 700
&quot;Bud-Gips&quot; S.C. Lucjan Złotowski Robert Rochoń #         robert.rochon@wp.pl     #(58) 691 39 60
&quot;Bud-Jar&quot; Sp. z o.o. ##691 975 888
Bud-Market Zbigniew Ślusarczyk #         budmarket.leba@wp.pl     #512 193 385
Bud-Max Maciej Włodek #         m_wlodek@poczta.onet.pl     #Oceń firmę i napisz o niej opinię:
&quot;Budmax Polska&quot; Sp. z o.o. #         biuro@budmaxpolska.pl     #502 903 385
&quot;Bud-Mor&quot; Sp.j. Przedsiębiorstwo Budowlane Zbigniew Kamiński Mariusz Krukowski #         biuro@budmor.pl     #(58) 677 12 75
&quot;Budo Dom&quot; Zakład Produkcyjno-Handlowo-Usługowy Łukasz Pęski #         budodom@budodom.pl     #(59) 857 60 11
Budownictwo-w Sp. z o.o. Sp.k. ##(58) 552 75 98
&quot;Budrol&quot; S.C. Przedsiębiorstwo Produkcyjno-Handlowe Jan i Tomasz Musiał ##(58) 587 88 98
Bysewo Sp. z o.o. ##(58) 344 55 77
Bysewo Sp. z o.o. #         szadolki@bysewo.pl     #(58) 302 06 75
&quot;Bysewo&quot; Sp. z o.o. Przedsiębiorstwo Handlowe #         chojnice@bysewo.pl     #(52) 397 21 46
California Trading Sp. z o.o. #         sklep@california-trading.eu     #(58) 691 11 60
Castorama ##(58) 522 21 00
Castorama Polska Sp. z o.o. #         obsluga.klienta.rumia@castorama.pl     #(58) 679 71 00
Castorama Polska Sp. z o.o. #         obsluga.klienta.gdansk@castorama.pl     #(58) 511 41 00
Castorama Polska Sp. z o.o. ##(58) 522 21 00
Castorama Polska Sp. z o.o. #         obsluga.klienta.slupsk@castorama.pl     #(59) 847 01 00
&quot;CBŻ Pszczółki&quot; Sp. z o.o. #         cbz@cbz.gda.pl     #(58) 683 91 30
Cebex Czesław Brandenburger #         cbrandenburger@drutex.com.pl     #Oceń firmę i napisz o niej opinię:
Cegips Sp. z o.o. #         biuro@cegips.pl     #570 660 201
&quot;Cel-Bud&quot; FHU Wiesław Spychalski #         celas81@wp.pl     #607 315 737
Cemash Sp. z o.o. #         l.narog@cemash.pl     #665 031 989
Centrum Budowlane &quot;Nord-Bud&quot; Krzysztof Pruchniewski #         nordbud7@o2.pl     #509 757 024
Centrum Budowlane S.C. ##509 545 225
Certus Daniel Skrzypczak #         daniel.skrzypczak7@wp.pl     #600 724 511
Chemat ##(59) 822 68 66
Chemat ##(59) 822 35 49
&quot;Chemia&quot; Sp. z o.o. Przedsiębiorstwo Handlowe Hurtownia Market Budowlany ##(58) 762 75 50
Cieśliński Zenon Handel-Transport ##(52) 398 69 91
Cięcie i Oklejanie Płyt Meblowych Krzysztof Wolszczak ##509 204 190
Color House Mariusz Urbański Piotr Kłosowski S.C. #         biuro@materialy-budowlane.eu     #Oceń firmę i napisz o niej opinię:
Concre Beton Architektoniczny Piotr Lewańczuk #         concre@concre.pl     #504 630 882
&quot;Corvex&quot; Sp. z o.o. ##505 113 472
&quot;Cover&quot; Rafał Karpiński ##691 460 388
Czarnowski Marcin Firma Usługowo-Handlowa ##(58) 688 06 95
&quot;Czer-Zal&quot; S.C. Przedsiębiorstwo Budowlane ##(55) 272 81 81
D.A.B. Inside Daniel Bieńkowski #         dab.inside@gmai.com     #785 455 138
Dachy Moszoński Adam Moszoński #         adammoszonski@gmail.com     #Oceń firmę i napisz o niej opinię:
&quot;Dachy&quot; Patryk Bianga ##(59) 863 22 23
&quot;Dachy&quot; Patryk Bianga #         biuro@bianga.pl     #Oceń firmę i napisz o niej opinię:
Dachy Żuławy Sp. z o.o. ##502 797 408
Dagotech Sp. z o.o. ##(58) 352 32 38
Danuta Landa Wiesław Jażdżewski Bygghandel.Pl S.C. ##501 605 397
Dariusz Labuda FHU #         d.labuda@interia.pl     #Oceń firmę i napisz o niej opinię:
&quot;Darko&quot; Przedsiębiorstwo Handlowo-Usługowo-Transportowe Dariusz Cirocki ##(58) 684 96 13
Davmar - S.C. ##(58) 345 44 23
Db Mega Aleksandra Samp/wspólnik Spółki Cywilnej/ #         olasamp@gil.com     #Oceń firmę i napisz o niej opinię:
Db Mega S.C. #         biuro@dachymega.pl     #Oceń firmę i napisz o niej opinię:
&quot;Dech-Pol&quot; Sp. z o.o. ##(58) 623 37 17
&quot;Dech-Pol&quot; Sp. z o.o. ##(58) 686 69 99
&quot;Dekor-Sztuk&quot; Pracownia Sztukatorska #         dekor_sztuk@wp.pl     #(58) 671 92 91
Delta Krokowa Sp. z o.o. #         delta.krokowa@wp.pl     #(58) 774 21 71
Delta Krokowa Sp. z o.o. Sp. J. #         delta.krokowa@wp.pl     #(58) 774 21 71
&quot;Derwi&quot; S.C. Jarosław Derdowski Michał Windorpski ##796 071 854
Dg Sp. z o.o. ##(58) 741 25 96
DHB Piotr Pałubicki #         piotr.dhb@wp.pl     #Oceń firmę i napisz o niej opinię:
Dk Partner Sp. z o.o. ##500 549 325
Dobruk Małgorzata Strzelecka #         strzeleckamalgorzata@o2.pl     #Oceń firmę i napisz o niej opinię:
Dom Handlowy Arel Przemysław Stefańczyk #         arel@arelmilitary.pl     #(58) 664 18 69
Domator Marcin Hewelt Sp.j. ##(58) 677 26 27
Domator Sp. z o.o. ##501 276 399
&quot;Domator&quot; Sp.j. #         domator@home.pl     #(58) 678 23 52
&quot;Domator&quot; Sp.j. ##(58) 677 26 27
&quot;Dom-Bet&quot; Przedsiębiorstwo Produkcyjno-Usługowo-Handlowe Ryszard Dampc ##(58) 678 00 72
&quot;Dombud&quot; Centrum Handlowe Anna Fotta ##(58) 351 14 52
&quot;Dombud-Gaja&quot; Hurtownia Materiałów Budowlanych ##(55) 272 33 03
&quot;Dom-Cyb&quot; FHU Dominik Cybula #         domcyb@gmail.com     #532 782 222
&quot;Domex&quot; Przedsiębiorstwo Handlowo-Usługowe Anna Zirra Magdalena Śpiewak ##664 784 283
Domo A. Żochowski Spółka Jawna ##(58) 682 00 76
Domy z Drewna Hlinka Vasili ##500 575 494
Doraco Infrastruktura Sp. z o.o. ##(58) 552 12 83
Dorota Jamróz Atelier #         djamroz1@wp.pl     #660 621 508
Drew-Hurt B. Izdebska, B. Przystupa S.C. #         biuro@drew-hurt.pl     #Oceń firmę i napisz o niej opinię:
Eco Solution Sp. z o.o. ##694 150 997
Ecorson Tomasz Bydołek #         gdansk@ecorson.com     #535 308 508
Ecotravers Sp. z o.o. ##505 305 054
&quot;Ekman Polska&quot; Sp. z o.o. ##(58) 660 82 30
&quot;Eko-Therm&quot; Firma Handlowa ##(58) 663 81 77
Elastyczny Klinkier Sp. z o.o. #         piotr.janiak@elastolith.pl     #(58) 345 13 72
Element Sp. z o.o. ##669 450 109
Elgrand Firma Handlowa Sp.j. ##(58) 686 67 25
Elwart Wojciech Przedsiębiorstwo Handlowo-Usługowo-Produkcyjne Sklep #         pioro78@wp.pl     #696 540 160
Elwart Wojciech Przedsiębiorstwo Handlowo-Usługowo-Produkcyjne Sklep Przemysłowy ##(58) 676 82 93
Elwood Łukasz Stanisławski #         lstanislawski.gd@gmail.com     #693 362 367
Emptor Piotr Kostuch #         p.kostuch@gmail.com     #Oceń firmę i napisz o niej opinię:
Erbud Łukasz Łapko #         lukasz.lapko@wp.pl     #Oceń firmę i napisz o niej opinię:
&quot;Euro - Pack Invest&quot; S.C. ##508 250 841
&quot;Eurobud Chajewscy&quot; Sp.j. ##(55) 277 88 55
&quot;Exkam&quot; Kamila Gierej #         taira24@vp.pl     #507 022 538
Expert Armatowski i Wspólnicy Sp.j. ##(58) 682 33 76
Expert Maria Gołota ##510 370 922
&quot;Fabe&quot; PHU Monika Gruszka #         gruszka-monika@wp.pl     #Oceń firmę i napisz o niej opinię:
&quot;Fa-Bruk&quot; Sp.j. Zbigniew Kondracki ##(58) 572 07 26
&quot;Falcon&quot; Maciej Maliński ##(58) 500 88 70
&quot;Fasada&quot; FHU Grzegorz Hrycuta ##607 615 887
Fenestra Magdalena Borys #         magdalenaborys12@wp.pl     #(58) 324 42 43
&quot;Fenster-Bis&quot; Wiesława Bojanowska ##(59) 862 09 22
Fensterland Kamila Magalska ##692 437 085
FH - Usługowa Tomasz Baliński #         tbalinski@drutex.com.pl     #662 265 843
FH Osługowa Rompol Sp. z o.o. ##(58) 684 10 78
FHU Ambit Marcin Wirkus ##602 587 499
FHU Dariusz Kmiecik #         dkmiecik@drutex.com.pl     #Oceń firmę i napisz o niej opinię:
FHU Emilia Stelmach ##(59) 843 13 50
FHU Futero Maciej Łącki ##512 336 912
FHU Łukasz Kroll #         lkroll@drutex.com.pl     #Oceń firmę i napisz o niej opinię:
FHU Michał Olik #         molik@drutex.com.pl     #696 495 487
FHU Michał Ptak #         ptak.michal@o2.pl     #Oceń firmę i napisz o niej opinię:
Fhu Mtw Grzegorz Wohlert #         grzegorz@mtwbis.pl     #Oceń firmę i napisz o niej opinię:
FHU Paweł Breza #         p.breza@wp.pl     #Oceń firmę i napisz o niej opinię:
FHU Prodom Agata Podgórska-Kruszona #         jameskr@poczta.onet.pl     #502 905 212
FHU Raf-Kolor Rafał Waniuga #         skleprafkolor@gmail.com     #Oceń firmę i napisz o niej opinię:
FHU Rompol Sp. z o.o. Spółka Komandytowa #         potrykusegiertowo@op.pl     #(58) 684 10 78
FHU Tredis Arkadiusz Makurat #         biuro.tredis@gmail.com     #Oceń firmę i napisz o niej opinię:
Firma Budowlana &quot;Sulima&quot; Z. Sulima Sp.j. #         gdynia@sulima.gdynia.pl     #(58) 663 33 17
Firma &quot;Döring&quot;- Usługi Budowlane Tadeusz Döring #         firmadoring@op.pl     #(58) 588 52 88
Firma Handlowa Anna Wieteska ##(58) 681 06 90
Firma Handlowa &quot;Kordek&quot; S.C.Kowalski Henryk Kordek Andrzej #         aneco@tlen.pl     #(58) 520 11 22
Firma Handlowo-Usługowa Twój Dom S.C. R.M. Kierzk ##668 675 124
Firma Handlowo-Usługowa Witold Dziuba #         falcon63@interia.pl     #Oceń firmę i napisz o niej opinię:
Firma &quot;Misiura&quot; Grzegorz Misiura #         firma.misiura@op.pl     #793 335 760
Firma Partner Sp. z o.o. #         a.s.partner@wp.pl     #501 779 337
Firma Remontowo-Budowlana i Hydrauliczna Darbud Dariusz Bronka ##513 128 342
Firma Usługowo-Handlowa &quot;Mat-Bud&quot; Henryk Hirsz #         mat-bud@wp.pl     #(58) 349 56 72
Firma &quot;Wist&quot; S.C. Grażyna Strachocka Jacek Strachocki ##(59) 822 54 88
&quot;Fitberg&quot; Magazyn Robert Tomaszewski #         kontakt@fitberg.com     #501 349 761
Fitberg Robert Tomaszewski ##501 349 761
Flis Zygmunt Skład Opału i Materiałów Budowlanych ##(58) 684 41 40
&quot;Fortis Kulej&quot; Bartosz Kulej #         biuro@agagt.pl     #Oceń firmę i napisz o niej opinię:
Fox-Invest Sylwia Korzeniecka-Kopańko #         korzeniecka_sylwia@wp.pl     #Oceń firmę i napisz o niej opinię:
FUH Anna Żmuda-Trzebiatowska #         anna@bol-lip.pl     #509 560 206
FUH Brandt Martyna Brandt #         firma.brandt@onet.eu     #Oceń firmę i napisz o niej opinię:
&quot;Gaja-Materiały Budowlane&quot; Centrum Budownictwa Henryk Resmerowski Wojciech Kamiński ##(58) 536 40 41
Gama Kolor S.C. Stanisław Kowalski i Tomasz Templin ##600 189 584
GAZ-POLAND Mirosław Jagodziński #         biuro@gazpoland.com.pl     #784 381 640
Gj*co Polska K. Michniewicz, M. Michałowski S.C. #         michniewicz.krzysztof@wp.pl     #Oceń firmę i napisz o niej opinię:
&quot;GMB&quot; Sp. z o.o. #         gmb.hd@wp.pl     #Oceń firmę i napisz o niej opinię:
Goda Małgorzata Zapletal #         mzapletal@wp.pl     #502 588 079
Gołębiewski Cezary Obrót Materiałami Przemysłowymi ##(55) 261 53 16
&quot;Goodmark&quot; Sp. z o.o. Sp.k. ##604 605 313
&quot;Gracja&quot; Sklep Wielobranżowy Zbigniew Jabłoński ##(55) 276 29 60
Grastel Budowlane Materiały #         grastell@wp.pl     #604 175 476
Groth Teresa Żwirownia #         biuro@groth.pomorskie.pl     #(58) 672 24 54
Grupa Amex Gdańsk Sp. z o.o. #         dariusz.grochowiecki@gmx.net     #Oceń firmę i napisz o niej opinię:
&quot;Grupa Prefabet&quot; S.A. Oddział Zakład Reda #         reda@grupa-prefabet.pl     #(58) 678 06 00
GS &quot;Samopomoc Chłopska&quot; Punkt Sprzedaży #         sekretariat@schsierakowice.pl     #Oceń firmę i napisz o niej opinię:
GS &quot;Samopomoc Chłopska&quot; Punkt Sprzedaży Materiałów Masowych ##(52) 398 22 13
GS &quot;Samopomoc Chłopska&quot; Sklep ##(58) 672 41 44
GS &quot;Samopomoc Chłopska&quot; Sprzedaż Materiałów Budowlanych ##(58) 684 40 65
GS &quot;Samopomoc Chłopska&quot; Zarząd ##(58) 681 65 69
&quot;Hagar&quot; Jarosław Swiniarski #         hagar.pasaz24@o2.pl     #(58) 664 92 20
Hagar Jarosław Swiniarski #         hagar@hagar.com.pl     #Oceń firmę i napisz o niej opinię:
&quot;Halmark&quot; Przedsiębiorstwo Handlowo-Usługowe Halina Walenciak #         halmark@halmark.com.pl     #Oceń firmę i napisz o niej opinię:
Hammer Pol S.C. Ewelina Soitz, Adrian Klein ##790 779 939
Handel &quot;Art-Przem&quot; Janusz Beyrowski ##(58) 627 02 17
Handel Wielobranżowy Patalas Szymon #         lubiana.szymon@wp.pl     #888 184 693
Harat Sp. z o.o. #         biuro@harat.com.pl     #(59) 857 59 85
Harat Sp.z  o.o. Sp.k. #         transport@harat.com.pl     #697 890 581
Hinc Roman Biuro Handlowe ##(58) 685 34 36
HMB Paulin Paulina Kossakowska #         paulina.gabriel@gmail.com     #(55) 275 16 81
Hobet Spółka z o.o. ##(58) 572 27 83
HP System #         hp62@o2.pl     #604 119 683
Hshome Sp. z o.o. #         gdansk@salonydewro.pl     #508 044 008
Hurtownia Artykułów Przemysłowych  Mirosław Szamraj, Andrzej Żywicki  S.C. #         andrzej.zywicki@onet.pl     #(52) 396 72 35
Hurtownia Materiałów Budowlanych Bladowski S.C. ##(58) 684 91 32
Hurtownia Materiałów Budowlanych Sp. z o.o. ##(55) 278 10 06
Hurtownia materiałów budowlanych Tex-2 #         kamil@tex2.com.pl     #(55) 279 50 61
&quot;Hyd-Met&quot; Sp. z o.o. ##601 299 860
I. &quot;Tydor&quot; Mirosława Bąkowska Ii. &quot;Feniks&quot; S.C. ##501 023 346
Ilvetro Adrian Falow #         ilvetro.kontakt@gmail.com     #Oceń firmę i napisz o niej opinię:
Immensity Sp. z o.o. ##884 048 400
Impact Sp. z o.o. #         biuro@kotwymostowe.pl     #884 008 456
Indusco Solution Sp. z o.o. #         biuro@indusco.pl     #(58) 343 65 42
&quot;Inplus&quot; S.C. Jerzy Czyż i Spółka #         czyz_seweryn@wp.pl     #601 682 963
Invest-Stone Sp. z o.o. #         biuro@invest-stone.pl     #Oceń firmę i napisz o niej opinię:
Inwestech Sp. z o.o. ##736 659 222
Ireneusz Śmigielski Firma Spaw-Met ##506 728 742
&quot;Italprod&quot; Sp. z o.o. #         italprod@italprod.pl     #(58) 681 55 40
&quot;Izobud&quot; Sp. z o.o. ##(58) 694 02 00
Izohan Sp. z o.o. ##(58) 781 45 85
Izopanel Sp. z o.o. Biuro Handlowe ##(58) 340 17 17
&quot;Izoprofil&quot; FHU Grzegorz Konczak ##663 330 622
Izydor Pilarski #         ip1983@wp.pl     #Oceń firmę i napisz o niej opinię:
&quot;Jama&quot; FHU Bartosz Bukowski #         bukowskibartosz@wp.pl     #Oceń firmę i napisz o niej opinię:
Jan Sikora Firma Handlowo-Usługowa &quot;Jan&quot; #         jan.sikora@op.pl     #(58) 681 66 47
&quot;Jantar&quot; Sp. z o.o. Sklep Ogólnobudowlany ##(59) 822 35 85
Jarosław Pepliński Bas-Bud Bis ##(59) 822 64 18
Jarosław Przybojewski #         jaroslaw.przybojewski@wp.pl     #793 382 122
&quot;Jazbud&quot; Sp. z o.o. ##(58) 682 24 88
&quot;Jazbud&quot; Sp. z o.o. ##(58) 682 82 65
Jerzy Czerwiński &quot;Czer-Zal&quot; Przedsiębiorstwo Branży Budowlanej ##(55) 272 81 81
Joanna Kopańczyk Terma Engineering ##602 461 816
Joanna Matysiak Contour ##607 594 795
Joanna Steffen Renobau #         info@sauber-profis.de     #Oceń firmę i napisz o niej opinię:
Jolanta Gańska Przedsiębiorstwo Handlowo-Usługowe &quot;Kom-Went&quot; ##(59) 822 88 97
Jomor S.C. Marcin Kowalak Andrzej Winiarski ##(58) 681 05 59
Joskowski Władysław Zakład Eksploatacji Żwiru Wyrób Pustaków ##605 314 873
Jotun Polska Sp. z o.o. ##(58) 555 15 15
Js Kama Kamila Kislica #         kamifa7@wp.pl     #Oceń firmę i napisz o niej opinię:
Julbud S.C. Justyna Michałowska Sebastian Konkol ##797 293 994
Justyna Borowska Przedsiębiorstwo Handlowo-Usługowe &quot;Unitap&quot; ##(59) 834 47 78
&quot;Kamal&quot; Sp. z o.o. Przedsiębiorstwo Budowlano-Montażowe i Prefabrykacji Betonów Zakład nr 6 ##(52) 395 13 37
Kamex Group Sp. z o.o. ##515 464 425
Kamil Tryk Firma Handlowo-Usługowa &quot;Kamir&quot; #         kamil-tryk@wp.pl     #Oceń firmę i napisz o niej opinię:
